IntentID,Name,Description,Examples,Response
4,Greeting,پیام‌های سلام و خوش‌آمدگویی,سلام، سلام چطوری؟، سلام عزیز,سلام! چطور می‌تونم کمکتون کنم؟
5,Goodbye,خداحافظی و پایان مکالمه,خداحافظ، خداحافظی، بعدا می‌بینمت,خداحافظ! هر وقت نیاز داشتی من اینجا هستم.
6,AskName,درخواست نام یا معرفی خود,اسم شما چیه؟، خودت کی هستی؟,من ربات پشتیبان هستم. شما چطور می‌تونم کمکت کنم؟
7,ProvideName,ارائه نام توسط کاربر,من علی هستم، اسم من مریم,ممنون علی جان! چطور می‌تونم بهت کمک کنم؟
8,AskHelp,درخواست کمک,می‌تونی کمک کنی؟، من مشکل دارم,بفرمایید، مشکل‌تون چیه؟
9,Thanks,تشکر,ممنون، متشکرم، سپاسگزارم,خواهش می‌کنم، وظیفه‌ست!
10,Complaint,ثبت شکایت,من مشکل دارم، دستگاهم خراب شده,متاسفم که این اتفاق افتاده. لطفا مشکل‌تون رو بفرمایید.
11,ProductInquiry,سوال درباره محصول,قیمت محصول چنده؟، این دستگاه چه امکاناتی داره؟,لطفا محصول مورد نظر رو بفرمایید تا راهنمایی کنم.
12,OrderStatus,سوال درباره وضعیت سفارش,سفارشم کجاست؟، وضعیت ارسال سفارش من چیه؟,لطفا شماره سفارش‌تون رو بفرمایید تا بررسی کنم.
13,ReturnPolicy,پرسش درباره سیاست بازگشت کالا,می‌تونم محصول رو پس بدم؟، شرایط بازگشت چیه؟,بله، تا ۷ روز امکان بازگشت محصول وجود داره.
14,WarrantyInfo,پرسش درباره گارانتی,گارانتی چنده؟، مدت گارانتی چقدره؟,گارانتی محصولات ما ۱۲ ماه است.
15,TechnicalSupport,درخواست پشتیبانی فنی,دستگاهم کار نمی‌کنه، مشکل فنی دارم,لطفا جزئیات مشکل فنی رو بفرمایید تا راهنمایی کنم.
16,InstallationHelp,کمک در نصب و راه‌اندازی,نصب دستگاه رو یادم نمیاد، راهنمای نصب می‌خوام,برای نصب دستگاه، مراحل زیر را دنبال کنید...
17,PaymentMethods,سوال درباره روش‌های پرداخت,پرداخت چگونه انجام می‌شود؟، کارت به کارت دارید؟,روش‌های پرداخت شامل آنلاین، کارت به کارت و نقدی است.
18,DeliveryTime,سوال درباره زمان تحویل,سفارش کی می‌رسد؟، زمان ارسال چقدره؟,زمان تحویل معمولاً بین ۳ تا ۷ روز کاری است.
19,StoreLocation,سوال درباره محل فروشگاه,فروشگاه شما کجاست؟، آدرس شعبه چیه؟,فروشگاه ما در خیابان انقلاب، پلاک ۱۰۲ واقع شده است.
20,CancelOrder,درخواست لغو سفارش,می‌خوام سفارشم رو لغو کنم,لطفا شماره سفارش‌تون رو بفرمایید تا لغو کنم.
21,Feedback,ارسال بازخورد,نظر من درباره محصول، پیشنهاد دارم,ممنون از بازخورد شما، حتما بررسی می‌کنیم.
22,ChangeAddress,تغییر آدرس,می‌خوام آدرسم رو عوض کنم,لطفا آدرس جدیدتون رو بفرمایید.
23,UpdatePhone,تغییر شماره تلفن,شماره تلفنم تغییر کرده,شماره جدیدتون رو لطفا ارسال کنید.
24,NewOrder,ثبت سفارش جدید,می‌خوام سفارش بدم، سفارش جدید,لطفا محصول و تعداد را بفرمایید تا ثبت کنم.
25,ProductAvailability,سوال درباره موجودی محصول,محصول موجوده؟، کی دوباره میارید؟,فعلاً موجود است / به زودی موجود می‌شود.
